indentometer	corneometer	tewameter	melanin	erythema	Age	MARKVU.PGA.AGE	height	weight	BMI	SUR1_GY	SUR1.T2D	SUR1.HBP	SUR1.Hlip	SUR1.T2D.HBP.Hlip	SUR1.T2D.Hlip	SUR1.PAD	SUR1.Tuber	SUR1.stroke	SUR2.1	SUR2.2	SUR2.3	SUR2.4	SUR2.5	SUR2.6	SUR2.7	SUR3.2	SUR3.3	SUR3.4	SUR4.1	SUR4.3	SUR5.1	SUR5.2	SUR5.3	SUR5.4	SUR5.5_GY	SUR5.6_GY
SUR2.2	0.0844879245554771	-0.0311671104240495	0.0197787127071564	0.034560126408007	0.0706447651313558	0.0411123808874571	0.0554944571859967	-0.0248455004565644	0.0236523531852704	0.0313594201286054	0.042312131642735	0.022806175572651	0.0524482864145622	0.0960159660413556	0.0417880190895711	0.060583042862729	0.0299202841668437	0.0238810072186731	0.0540582188583441	0.353628556525722	1	0.243268381237743	0.122441327178767	0.097941992829831	0.140509064185675	0.0311870090099503	0.0554072020973363	0.0243921766776696	0.0869243917368959	0.0397044198303466	0.0187812056606337	0.00163362977775534	0.00616021554523066	0.0852014989787019	-0.00566984303157048	0.00238724537786982	0.00865843981888273
SUR2.3	0.0388247865986985	-0.0603883802255668	0.0250680051550661	0.0861464901431551	0.00461013832019644	0.148586592769853	0.0570372617515643	-0.0503348612572365	0.0366557405944613	0.0726277545158073	-0.114166787121463	-0.0948747150143096	-0.0493487358653357	-0.0730076953709858	-0.130298408288174	-0.114981512693746	-0.0627480904711726	-0.0520194703085022	-0.0607341287678027	0.238808293454157	0.243268381237743	1	0.24168067589728	0.238807560071596	0.291021199643541	0.119925664498037	0.114538514621235	0.052044733097147	0.106948407345893	-0.00342766867993338	0.0657944721852223	0.0468259373455759	0.0810355199685634	0.166030923900048	-0.0253878985770452	-0.0481526340668107	-0.115890156753125
SUR2.4	0.0046939753652286	-0.00825779751182342	0.0373920342085679	0.00826509755399073	-0.0440376735968366	0.140165733129131	0.022050162790923	0.0101593862739188	0.0472969080080224	0.0841440353906926	-0.0831944722991343	-0.0840510268276784	-0.057102899616772	-0.0554084873662467	-0.0901585207832136	-0.0937438025944995	-0.0465460804494021	-0.0134955015400221	-0.0215421665792415	0.131041645455505	0.122441327178767	0.24168067589728	1	0.250785540440777	0.0878604459502707	0.0902231637172731	0.0880509084460033	-0.0105333805758129	0.0529590784529168	0.151698351520767	0.0419793373582218	-0.0286370002768347	-0.0538542058769502	0.0059749592331665	0.0426813440971244	-0.0146896525571425	0.0331638990005219
SUR2.5	0.000891251626376404	-0.0307959077913165	0.0462534201741956	-0.0313117140626948	0.0407476495972104	0.0624075339387569	-0.0169455840640628	0.0106267931470698	0.0806456369804427	0.0832905681359596	-0.0274134515570629	-0.0453316069730052	-0.0331599587915116	-0.0320755171398863	-0.0451655522333444	-0.0508937005673877	0.0154263841839068	0.00810763290940334	-0.000996854212723418	0.0371470629578927	0.097941992829831	0.238807560071596	0.250785540440777	1	0.123797492768646	0.0497268482683521	0.0329797222931649	0.000240352562365522	0.0783095727645249	0.0390356285558214	0.0949172596883046	-0.00934064943800078	0.0660869630576406	0.0649335097846811	0.00395676954306765	-0.0572629159515723	-0.0936115115369422
SUR2.6	0.0473642935501266	-0.100297347760193	-0.0137015513026827	0.0794820544079239	0.0398435916847881	0.0942922399670791	0.0186123021714066	0.0371342335968289	0.041749704223498	0.0593154327140169	-0.0796243152181969	-0.0504328106984549	-0.0319060949125487	-0.0230769512625296	-0.0809284509224523	-0.0381481535266828	-0.0101586944465874	-0.00969395014014772	-0.0199230387540437	0.0894571008078876	0.140509064185675	0.291021199643541	0.0878604459502707	0.123797492768646	1	0.0252277256287125	0.14357997644721	0.0663995722888265	0.116507071568111	-0.0121242083635138	0.0832831194475372	0.0430174191556929	0.0567061295449432	0.128762716392758	0.0188197469530627	-0.00395764610338161	-0.0704745129790085
SUR2.7	0.0214117402993781	-0.0394375904897097	0.0181164028853314	-0.0243402625269885	-0.0545254195234138	0.0630564757408759	0.0359312119360349	0.0205744976081989	0.0424129994898015	0.0463405305402821	0.00212759058457623	0.00266289237705631	-0.0392721272395052	0.0106452223370935	-0.000131917663537452	0.0100815600736985	0.00861788352161657	-0.0307363424436684	-0.0225087852890345	0.0446984431459546	0.0311870090099503	0.119925664498037	0.0902231637172731	0.0497268482683521	0.0252277256287125	1	-0.0861505970969985	-0.0201494904568192	0.0775132553061054	0.101912141185702	0.112542974881136	0.0143789551600247	0.0287832361272825	0.0597742547969403	0.100896944177491	-0.0492078762969481	-0.0185870690003427
SUR3.2	-0.0300626162174437	-0.0397795942886057	-0.00854704035243179	0.0526556565393839	0.00442221599334925	-0.0890961251858752	-0.0111962575813303	-0.0307957168505888	0.0715706255665695	0.0905692445290577	0.00786252771919564	-0.0162673739975405	0.0483355386254455	0.0489110137052149	-0.00592860692416821	0.00885928045928817	0.0401390272911933	0.0690382467351474	0.0388000692013156	-0.00307443511164323	0.0554072020973363	0.114538514621235	0.0880509084460033	0.0329797222931649	0.14357997644721	-0.0861505970969985	1	0.507820443094299	0.19896803754819	0.00652357249909448	0.035746033906963	0.0777761632863132	-0.0233699138393578	0.095789920927217	-0.0658683193704343	0.0545183728332171	-0.0488302016100371
SUR3.3	-0.032126847477233	-0.0380087155526097	-0.0415683776494445	-0.0797674514408719	-0.039269226950584	-0.119529980825398	-0.0486011397971245	-0.0356492757679917	0.0141474562778127	0.0171653530809164	0.0451200390265087	6.12029083705532e-05	0.0588993985376511	0.0582408051293876	0.0520896333350293	0.0291831321026209	-0.0172155120940277	0.0530751810398009	0.0282757109628834	-0.00601423407732619	0.0243921766776696	0.052044733097147	-0.0105333805758129	0.000240352562365522	0.0663995722888265	-0.0201494904568192	0.507820443094299	1	0.111385273222978	0.00477934110294247	0.0112158304597137	0.105838576651047	0.0198080160567157	0.0407829537246336	-0.00603038250360163	0.0673435318799158	-0.0964001107660324
SUR3.4	0.0416270305934592	-0.0249093918774989	-0.0116371187936052	-0.00851144742175159	-0.0434272781853639	-0.158564311442343	0.064453231582829	-0.037068201232999	0.113316632078388	0.132906448371028	0.0770806977714357	0.0237679036635607	-0.0215698857331755	0.0323576438315351	0.050357523178499	0.0589782477782432	0.0459274615623109	0.0203927612522455	0.0191888493058997	0.0406516823237275	0.0869243917368959	0.106948407345893	0.0529590784529168	0.0783095727645249	0.116507071568111	0.0775132553061054	0.19896803754819	0.111385273222978	1	0.0699490494873844	0.0539142102548134	0.0553941766733815	0.0901007611156645	0.0738433431805081	0.0203653608783594	0.0578029828020808	-0.0181224101311846
SUR4.1	-0.0532467839946283	0.0492359206341879	0.0194133665714149	-0.0172221385275097	-0.0276323816610428	-0.0203043833831326	-0.0643410640887559	0.00432541018080941	0.0114785899418989	0.0173527749233925	0.0417690399127723	-0.0157499711743121	0.0005057940014575	0.0111397345222298	0.00634376554150125	0.00786304664905819	0.0438596405093406	0.00816438233687347	0.00376298334301749	0.0357746222694962	0.0397044198303466	-0.00342766867993338	0.151698351520767	0.0390356285558214	-0.0121242083635138	0.101912141185702	0.00652357249909448	0.00477934110294247	0.0699490494873844	1	0.0490437614575567	0.093229225346624	-0.026028494934341	0.0200491366278762	0.0650553448156739	0.0338127901808206	-0.0251000100575753
SUR4.3	-0.0191639053808664	-0.00956220097727317	-0.0364881429940283	0.0674103418830584	-0.03199124786863	-0.0138199834195506	0.0414584708433725	0.0171240539149268	0.0751652725098835	0.0447346956364035	0.0380906159768106	-0.0173621595568275	0.0179906491062535	0.0161605668466632	0.0295733950173642	-0.00839722358572541	0.04695721522718	0.0481868431937408	0.0315602223517798	0.0189608968441369	0.0187812056606337	0.0657944721852223	0.0419793373582218	0.0949172596883046	0.0832831194475372	0.112542974881136	0.035746033906963	0.0112158304597137	0.0539142102548134	0.0490437614575567	1	-0.00488015949152305	0.0126177402671777	0.116302150500026	-0.000218462736918825	-0.0202095726274676	-0.0677368652146299
SUR5.1	0.0141325604123673	-0.00792221503451497	0.0507721536897643	0.0420534899956845	-0.0232838938258567	-0.0874050034332768	-0.0542856321312798	0.0117810601131761	0.070199722520644	0.0621679200244411	0.00789847218159305	-0.0121020180580912	-0.0249394372381187	-0.00822469592627549	0.0134643106209025	-0.0039127889957498	-0.0152456043231632	-0.0293431735403014	-0.037676844132288	0.0102869837724857	0.00163362977775534	0.0468259373455759	-0.0286370002768347	-0.00934064943800078	0.0430174191556929	0.0143789551600247	0.0777761632863132	0.105838576651047	0.0553941766733815	0.093229225346624	-0.00488015949152305	1	0.35408841937136	0.0113958379037418	-0.00543606727544535	0.0269504061154787	0.00121069857384951
SUR5.2	0.0330871796589921	-0.00967774914823342	-0.0403012486887164	0.0624668278567306	0.0139342147949881	-0.0457308083733326	-0.0194298973381452	0.0252358871534965	0.0909968759320859	0.0746870048996545	0.00675924060358343	-0.0405293542191049	0.00257923181396831	-0.00126179063874494	0.00189845174386416	-0.00809494607503364	-0.0274365704373985	-0.0165346855584678	-0.025753142058299	0.0211748909540244	0.00616021554523066	0.0810355199685634	-0.0538542058769502	0.0660869630576406	0.0567061295449432	0.0287832361272825	-0.0233699138393578	0.0198080160567157	0.0901007611156645	-0.026028494934341	0.0126177402671777	0.35408841937136	1	-0.0137192602446881	-0.0196789665248839	0.0443300545176553	-0.00451272232966089
SUR5.3	-0.00793771665825693	0.0112378620676557	0.0248304399689428	0.040439396148219	0.0261170648721778	0.00679906397953883	0.0509113937445531	-0.0395493942868816	-0.0393775987750891	-0.0246547098939525	0.0629377573536036	0.0551438190490937	0.106273294506815	-0.02024136030031	0.0667883880382183	-0.0161202878114523	0.00445176394792637	0.05210686342374	0.0516870815686553	-0.0287960101131964	0.0852014989787019	0.166030923900048	0.0059749592331665	0.0649335097846811	0.128762716392758	0.0597742547969403	0.095789920927217	0.0407829537246336	0.0738433431805081	0.0200491366278762	0.116302150500026	0.0113958379037418	-0.0137192602446881	1	0.00968151353960148	5.93687334417526e-05	-0.0910071819054397
SUR5.4	0.0279723237394647	-0.0396928703258158	0.00877272292948008	0.0350894159648384	0.0267672062580356	0.0234639484394096	0.0143567597025364	0.00464225089751852	0.0182964379491799	0.0211070958040894	-0.09349262389728	0.0151879710303035	-0.0771290066464944	-0.0468638779402861	-0.0870736453429254	-0.0459390006984397	-0.0147002316774769	0.0113365987440585	0.00694444444444444	0.0139512379581735	-0.00566984303157048	-0.0253878985770452	0.0426813440971244	0.00395676954306765	0.0188197469530627	0.100896944177491	-0.0658683193704343	-0.00603038250360163	0.0203653608783594	0.0650553448156739	-0.000218462736918825	-0.00543606727544535	-0.0196789665248839	0.00968151353960148	1	-0.138129461675004	0.00520676461434154
SUR5.5_GY	0.054170208253285	0.00718188924213169	-0.00526090027777499	-0.00966331124244897	0.0325190007610333	-0.111565566014973	0.0353294521395416	-0.0140657540988753	-0.022568870972085	-0.0348541420285826	0.0589570668446773	0.0534771186850199	0.0128999537540825	0.0345819872991255	0.0582420467465003	0.0717053327274323	0.00994983317262351	-0.0572565060654373	-0.0178679980731164	-0.00308299114881821	0.00238724537786982	-0.0481526340668107	-0.0146896525571425	-0.0572629159515723	-0.00395764610338161	-0.0492078762969481	0.0545183728332171	0.0673435318799158	0.0578029828020808	0.0338127901808206	-0.0202095726274676	0.0269504061154787	0.0443300545176553	5.93687334417526e-05	-0.138129461675004	1	0.12377570723038
SUR5.6_GY	0.0349514791849959	0.0133320162710543	0.0713435508626306	0.0271398709663314	0.0715898053149755	0.0173778847680396	-0.0324098694090637	-0.00216078576722431	-0.00707376459595064	0.00301260082787827	0.0141918769776275	0.0411596662455758	0.0527791980274474	0.0312798906582275	0.0307416496861514	0.01916743463561	-0.0517530100451882	-0.0323852345411109	0.00147755062375425	-0.0369491109653407	0.00865843981888273	-0.115890156753125	0.0331638990005219	-0.0936115115369422	-0.0704745129790085	-0.0185870690003427	-0.0488302016100371	-0.0964001107660324	-0.0181224101311846	-0.0251000100575753	-0.0677368652146299	0.00121069857384951	-0.00451272232966089	-0.0910071819054397	0.00520676461434154	0.12377570723038	1
